INFO:root:Episode 1110 | Avg Reward: 10.50 | Epsilon: 0.010 | Win Rate: 93.00%
INFO:root:Episode 1120 | Avg Reward: 10.20 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 1130 | Avg Reward: 9.40 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 1140 | Avg Reward: 8.90 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 1150 | Avg Reward: 7.60 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 1160 | Avg Reward: 6.30 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 1170 | Avg Reward: 6.50 | Epsilon: 0.010 | Win Rate: 93.00%
INFO:root:Episode 1180 | Avg Reward: 5.80 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 1190 | Avg Reward: 5.00 | Epsilon: 0.010 | Win Rate: 90.00%
INFO:root:Episode 1200 | Avg Reward: 3.10 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1210 | Avg Reward: 2.90 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1220 | Avg Reward: 2.10 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1230 | Avg Reward: 2.40 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1240 | Avg Reward: 3.20 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 1250 | Avg Reward: 6.20 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 1260 | Avg Reward: 7.20 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 1270 | Avg Reward: 6.70 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1280 | Avg Reward: 7.10 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1290 | Avg Reward: 6.80 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1300 | Avg Reward: 7.20 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 1310 | Avg Reward: 5.20 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1320 | Avg Reward: 6.60 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 1330 | Avg Reward: 6.30 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1340 | Avg Reward: 4.00 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1350 | Avg Reward: 2.20 | Epsilon: 0.010 | Win Rate: 83.00%
INFO:root:Episode 1360 | Avg Reward: 1.00 | Epsilon: 0.010 | Win Rate: 81.00%
INFO:root:Episode 1370 | Avg Reward: -1.70 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1380 | Avg Reward: -1.40 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 1390 | Avg Reward: -1.90 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1400 | Avg Reward: -1.40 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1410 | Avg Reward: -0.30 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 1420 | Avg Reward: -1.30 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1430 | Avg Reward: -1.60 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1440 | Avg Reward: 0.20 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1450 | Avg Reward: 0.40 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1460 | Avg Reward: -0.10 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1470 | Avg Reward: 1.80 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1480 | Avg Reward: 1.20 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1490 | Avg Reward: 1.70 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1500 | Avg Reward: 3.30 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 1510 | Avg Reward: 4.20 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 1520 | Avg Reward: 1.50 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1530 | Avg Reward: 2.30 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 1540 | Avg Reward: -0.10 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1550 | Avg Reward: -0.10 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1560 | Avg Reward: 0.10 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1570 | Avg Reward: 0.20 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1580 | Avg Reward: -0.50 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1590 | Avg Reward: -0.60 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1600 | Avg Reward: -1.00 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1610 | Avg Reward: -0.60 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1620 | Avg Reward: 1.10 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1630 | Avg Reward: -1.10 | Epsilon: 0.010 | Win Rate: 72.00%
INFO:root:Episode 1640 | Avg Reward: 1.10 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1650 | Avg Reward: 1.60 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1660 | Avg Reward: 1.30 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1670 | Avg Reward: 2.10 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1680 | Avg Reward: 2.90 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1690 | Avg Reward: 3.00 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1700 | Avg Reward: 2.20 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1710 | Avg Reward: 1.80 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1720 | Avg Reward: 3.10 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1730 | Avg Reward: 4.10 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1740 | Avg Reward: 3.90 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1750 | Avg Reward: 2.40 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1760 | Avg Reward: 2.90 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1770 | Avg Reward: 2.20 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1780 | Avg Reward: 2.20 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1790 | Avg Reward: 1.90 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1800 | Avg Reward: 3.00 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1810 | Avg Reward: 1.80 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1820 | Avg Reward: 1.70 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1830 | Avg Reward: 2.10 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1840 | Avg Reward: 1.40 | Epsilon: 0.010 | Win Rate: 71.00%
INFO:root:Episode 1850 | Avg Reward: 2.60 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1860 | Avg Reward: 2.70 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1870 | Avg Reward: 3.20 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1880 | Avg Reward: 3.00 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1890 | Avg Reward: 3.00 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1900 | Avg Reward: 2.40 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1910 | Avg Reward: 3.60 | Epsilon: 0.010 | Win Rate: 78.00%
INFO:root:Episode 1920 | Avg Reward: 3.10 | Epsilon: 0.010 | Win Rate: 76.00%
INFO:root:Episode 1930 | Avg Reward: 2.50 | Epsilon: 0.010 | Win Rate: 75.00%
INFO:root:Episode 1940 | Avg Reward: 3.80 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 1950 | Avg Reward: 3.20 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1960 | Avg Reward: 3.00 | Epsilon: 0.010 | Win Rate: 77.00%
INFO:root:Episode 1970 | Avg Reward: 1.30 | Epsilon: 0.010 | Win Rate: 74.00%
INFO:root:Episode 1980 | Avg Reward: 1.50 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 1990 | Avg Reward: 2.30 | Epsilon: 0.010 | Win Rate: 73.00%
INFO:root:Episode 2000 | Avg Reward: 0.40 | Epsilon: 0.010 | Win Rate: 69.00%
INFO:root:Episode 2010 | Avg Reward: -0.30 | Epsilon: 0.010 | Win Rate: 68.00%
INFO:root:Episode 2020 | Avg Reward: -1.00 | Epsilon: 0.010 | Win Rate: 66.00%
INFO:root:Episode 2030 | Avg Reward: 0.20 | Epsilon: 0.010 | Win Rate: 67.00%
INFO:root:Episode 2040 | Avg Reward: -1.90 | Epsilon: 0.010 | Win Rate: 65.00%
INFO:root:Episode 2050 | Avg Reward: -1.40 | Epsilon: 0.010 | Win Rate: 67.00%
INFO:root:Episode 2060 | Avg Reward: -1.60 | Epsilon: 0.010 | Win Rate: 66.00%
INFO:root:Episode 2070 | Avg Reward: -1.00 | Epsilon: 0.010 | Win Rate: 66.00%
INFO:root:Episode 2080 | Avg Reward: -1.70 | Epsilon: 0.010 | Win Rate: 64.00%
INFO:root:Episode 2090 | Avg Reward: -3.40 | Epsilon: 0.010 | Win Rate: 61.00%
INFO:root:Episode 2100 | Avg Reward: -2.60 | Epsilon: 0.010 | Win Rate: 63.00%
INFO:root:Episode 2110 | Avg Reward: -4.00 | Epsilon: 0.010 | Win Rate: 62.00%
INFO:root:Episode 2120 | Avg Reward: -3.50 | Epsilon: 0.010 | Win Rate: 63.00%
INFO:root:Episode 2130 | Avg Reward: -4.20 | Epsilon: 0.010 | Win Rate: 62.00%
INFO:root:Episode 2140 | Avg Reward: -1.10 | Epsilon: 0.010 | Win Rate: 63.00%
INFO:root:Episode 0 | Avg Reward: 10.00 | Epsilon: 1.000 | Win Rate: 100.00%
INFO:root:Episode 10 | Avg Reward: -0.91 | Epsilon: 1.000 | Win Rate: 63.64%
INFO:root:Episode 20 | Avg Reward: -5.24 | Epsilon: 0.904 | Win Rate: 61.90%
INFO:root:Episode 30 | Avg Reward: -3.23 | Epsilon: 0.818 | Win Rate: 64.52%
